OrganizationNumber,OrganizationName,boro_name,Fax,Phone,URL,latitude,longitude,Census Tract,Address1,City,Postcode,focus1,focus2,focus3,focus4,focus5,focus6,focus7,focus8,focus9,focus10,focus11,focus12,focus13,focus14,fofcus15,focus16,focus17,focus18,focus19,focus20,focus21,focus22,focus23
361,Empire State Pride Agenda,MANHATTAN,2126274136,2126270305,http://www.prideagenda.org,40.741214,-73.990884,58,16 West 22nd Street,New York,10010,Anti-Discrimination & Human Rights,"Lesbian, Gay, Bisexual, and/or Transgender",,,,,,,,,,,,,,,,,,,,,
404,"Gay, Lesbian, and Straight Education Network",MANHATTAN,2127270254,2127270135,http://www.glsen.org,40.703954,-74.011592,9,90 Broad Street,New York,10004,Anti-Discrimination & Human Rights,"Lesbian, Gay, Bisexual, and/or Transgender",,,,,,,,,,,,,,,,,,,,,
543,Queers For Economic Justice,MANHATTAN,2125640590,2125643608,http://q4ej.org/,40.747541,-73.986426,76,16 W. 32nd Street,New York,10001,Anti-Discrimination & Human Rights,"Lesbian, Gay, Bisexual, and/or Transgender",,,,,,,,,,,,,,,,,,,,,
734,ACLU LGBT & AIDS Project,MANHATTAN,2125492650,2125492627,http://www.aclu.org/lgbt,,,,"125 Broad St., 18th Fl.",New York,,Anti-Discrimination & Human Rights,"Lesbian, Gay, Bisexual, and/or Transgender",,,,,,,,,,,,,,,,,,,,,
41,District Eight NAPFE,BRONX,2129263880,9178170763,http://www.napfe.com,,,,P. O. Box 749,Bronx,10451,Anti-Discrimination & Human Rights,Professional Association,,,,,,,,,,,,,,,,,,,,,
778,District Eight NAPFE,MANHATTAN,2129263880,9178170763,http://www.napfe.com,,,,P. O. Box 749,Bronx,10451,Anti-Discrimination & Human Rights,Professional Association,,,,,,,,,,,,,,,,,,,,,
1194,District Eight NAPFE,QUEENS,2129263880,9178170763,http://www.napfe.com,,,,P. O. Box 749,Bronx,10451,Anti-Discrimination & Human Rights,Professional Association,,,,,,,,,,,,,,,,,,,,,
349,Coalition of Labor Union Women,MANHATTAN,7185953827,7185953843,,40.706493,-74.012725,9,52 Broadway,New York,10004,Anti-Discrimination & Human Rights,Professional Association,,,,,,,,,,,,,,,,,,,,,
1643,ECPAT-USA,BROOKLYN,7189359173,7189359192,http://www.ecpatusa.org,40.694504,-73.993213,502,157 Montague St,Brooklyn,11201,Anti-Discrimination & Human Rights,Victim Services,,,,,,,,,,,,,,,,,,,,,
690,Third Wave Foundation,MANHATTAN,,2123881898,http://www.thirdwavefoundation.org,,,,"116 East 16 St., 7th Fl.",New York,,Anti-Discrimination & Human Rights,Youth Services,,,,,,,,,,,,,,,,,,,,,
186,Equal Employment Practices Commission,BRONX,,2126399675,http://www.nyc.gov/html/eepc/html/home/home.shtml,,,,,New York,,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
885,Equal Employment Practices Commission,MANHATTAN,,2126399675,http://www.nyc.gov/html/eepc/html/home/home.shtml,,,,,New York,,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
1291,Equal Employment Practices Commission,QUEENS,,2126399675,http://www.nyc.gov/html/eepc/html/home/home.shtml,,,,,New York,,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
1487,Equal Employment Practices Commission,STATENIS,,2126399675,http://www.nyc.gov/html/eepc/html/home/home.shtml,,,,,New York,,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
1853,Equal Employment Practices Commission,BROOKLYN,,2126399675,http://www.nyc.gov/html/eepc/html/home/home.shtml,,,,,New York,,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
19,Critical Resistance,BRONX,7186761672,7186761660,,40.817303,-73.897902,85,976 Longwood Ave,Bronx,10459,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
146,"Church Women United, Inc.",BRONX,2128702338,2128702347,http://www.churchwomen.org,40.811101,-73.964168,205,475 Riverside Drive,New York,10115,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
328,Philippine Forum,MANHATTAN,,2127416806,http://www.geocities.com/philippineforum,,,,"122 West 27th Street, 10th Floor",New York,,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
334,Asian Americans for Equality,MANHATTAN,,2129798381,http://www.aafe.org/,40.718954,-73.987056,1402,"108 Norfolk Street, Lower lv",New York,10002,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
340,Chinese Staff and Workers Association,MANHATTAN,2123741506,2126197979,http://www.cswa.org,,,,"15 Catherine St., #2R",New York,,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
366,"Citizens' Committee for Children of New York, Inc.",MANHATTAN,,2126731800,http://www.cccnewyork.org,40.739265,-73.986215,68,"105 East 22nd Street, 7th floor",New York,10010,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
408,Emunah of America,MANHATTAN,,,,40.74879,-73.992244,101,370 Seventh Ave,New York,10001,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
424,Citizens Union Foundation,MANHATTAN,,2122270342,http://www.citizensunionfoundation.org,40.715046,-74.005591,33,"299 Broadway, Suite 700",New York,10007,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
427,International League for Human Rights,MANHATTAN,,2126610480,http://www.ilhr.org,40.75141,-73.967954,90,"823 UN Plaza, Suite 717",New York,10017,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
438,Center for Alternative Sentencing and Employment Services,MANHATTAN,,2125536349,,40.716696,-74.004163,31,"346 Broadway, 3rd Fl",New York,10013,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
449,Human Rights Watch,MANHATTAN,,2122161200,http://hrw.org,40.748342,-73.984643,76,"350 5th Ave, 34th Floor",New York,10118,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
455,Equality NOW,MANHATTAN,2125861611,2125860906,http://www.equalitynow.org,40.766391,-73.982119,137,250 W. 57th St. Suite 1527,New York,10107,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
484,Coalition for Women Prisoners,MANHATTAN,2124732807,2122545700,http://www.correctionalassociation.org/WIPP/cwp.htm,40.808639,-73.948582,222,"2090 Adam Clayton Powell, Jr. Blvd",New York,10027,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
562,"International Women's Tribune Centre, Inc.",MANHATTAN,2126612704,2126878633,http://www.iwtc.org/,,,,"777 U.N. Plaza, 3rd Fl.",New York,,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
580,Women's Environment & Development Organization (WEDO),MANHATTAN,2129730335,2129730325,http://www.wedo.org,,,,"355 Lexington Ave., 3rd Fl.",New York,,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
598,"MADRE, Inc.",MANHATTAN,2126753704,2126270444,http://www.madre.org,,,,"121 West 27 St., #301",New York,,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
624,"Redstockings, Inc.",MANHATTAN,,2129296720,http://www.redstockings.org,,,,POB 744 Stuyvesant Station,New York,,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
633,"National Council of Women of the United States, Inc.",MANHATTAN,2129720164,2126971278,http://www.womensorganizations.org/index.php?option=com_content&task=view&id=12&Itemid=41,,,,"777 U. N. Plaza, 7th Fl.",New York,,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
639,"Women's World Organization for Rights, Literature, and Development",MANHATTAN,2129472973,2129472915,http://www.wworld.org/,,,,"208 West 30 St., Suite 901",New York,,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
654,Women's City Club of New York,MANHATTAN,2122284665,2123538070,http://www.wccny.org,,,,33 W.60th St. - 5th Fl.,New York,,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
666,National Organization for Women-New York City,MANHATTAN,2126279861,2126279895,http://www.nownyc.org,,,,150 w. 28th St. Suite 304,New York,,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
845,"Church Women United, Inc.",MANHATTAN,2128702338,2128702347,http://www.churchwomen.org,40.811101,-73.964168,205,475 Riverside Drive,New York,10115,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
1252,"Church Women United, Inc.",QUEENS,2128702338,2128702347,http://www.churchwomen.org,40.811101,-73.964168,205,475 Riverside Drive,New York,10115,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
1452,"Church Women United, Inc.",STATENIS,2128702338,2128702347,http://www.churchwomen.org,40.811101,-73.964168,205,475 Riverside Drive,New York,10115,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
1625,Huairou Commission,BROOKLYN,7183880285,7183888915,http://www.huairou.org/,40.712105,-73.945709,503,249 Manhattan Avenue,Brooklyn,11211,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
1666,El Puente De Williamsburg,BROOKLYN,,7183870404,,40.710686,-73.959655,523,211 South 4th Street,Brooklyn,11211,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
1693,Make the Road New York,BROOKLYN,,7184187690,http://www.maketheroad.org/index.php,40.698448,-73.915629,433,301 Grove Street,Brooklyn,11237,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
1715,National Organization for Women-Brooklyn,BROOKLYN,,7189517441,http://www.brooklynnow.org,,,,2355 E. 12th St. #5M,Brooklyn,,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
1813,"Church Women United, Inc.",BROOKLYN,2128702338,2128702347,http://www.churchwomen.org,40.811101,-73.964168,205,475 Riverside Drive,New York,10115,Anti-Discrimination & Human Rights,,,,,,,,,,,,,,,,,,,,,,
1170,Bramson ORT Technical Institute,QUEENS,7185755119,7182615800,http://www.bramsonort.edu,40.710257,-73.855817,645,87-21 69th Avenue,Forest Hills,11375,Arts & Culture,Business,Community Service & Volunteerism,Education,Employment & Job Training,Professional Association,Veterans & Military Families,Youth Services,,,,,,,,,,,,,,,
1668,Bramson ORT Technical Institute,BROOKLYN,7185755119,7182615800,http://www.bramsonort.edu,40.710257,-73.855817,645,87-21 69th Avenue,Forest Hills,11375,Arts & Culture,Business,Community Service & Volunteerism,Education,Employment & Job Training,Professional Association,Veterans & Military Families,Youth Services,,,,,,,,,,,,,,,
1713,"Vannguard Urban Improvement Association, Inc.",BROOKLYN,,7184533330,,40.680919,-73.940518,273,"613-619 Throop Avenue, 3rd Fl.",Brooklyn,11216,Arts & Culture,Business,Community Service & Volunteerism,Education,Youth Services,,,,,,,,,,,,,,,,,,
702,Women Make Movies,MANHATTAN,2129252052,2129250606,http://www.wmm.com/,,,,"462 Broadway, Suite 500",New York,,Arts & Culture,Business,,,,,,,,,,,,,,,,,,,,,
213,New York City Department of Youth and Community Development,BRONX,,2126399675,http://www.nyc.gov/html/dycd/html/home/home.shtml,,,,,New York,,Arts & Culture,Child Care & Parent Information,Community Service & Volunteerism,Education,Employment & Job Training,Youth Services,,,,,,,,,,,,,,,,,
912,New York City Department of Youth and Community Development,MANHATTAN,,2126399675,http://www.nyc.gov/html/dycd/html/home/home.shtml,,,,,New York,,Arts & Culture,Child Care & Parent Information,Community Service & Volunteerism,Education,Employment & Job Training,Youth Services,,,,,,,,,,,,,,,,,
1317,New York City Department of Youth and Community Development,QUEENS,,2126399675,http://www.nyc.gov/html/dycd/html/home/home.shtml,,,,,New York,,Arts & Culture,Child Care & Parent Information,Community Service & Volunteerism,Education,Employment & Job Training,Youth Services,,,,,,,,,,,,,,,,,
1513,New York City Department of Youth and Community Development,STATENIS,,2126399675,http://www.nyc.gov/html/dycd/html/home/home.shtml,,,,,New York,,Arts & Culture,Child Care & Parent Information,Community Service & Volunteerism,Education,Employment & Job Training,Youth Services,,,,,,,,,,,,,,,,,
1880,New York City Department of Youth and Community Development,BROOKLYN,,2126399675,http://www.nyc.gov/html/dycd/html/home/home.shtml,,,,,New York,,Arts & Culture,Child Care & Parent Information,Community Service & Volunteerism,Education,Employment & Job Training,Youth Services,,,,,,,,,,,,,,,,,
98,Arab-American Family Support Center,BRONX,7187970410,7186438000,http://www.aafscny.org,40.688806,-73.992806,45,"150 Court Street, 3rd Floor",New York,11201,Arts & Culture,Child Care & Parent Information,Counseling & Support Groups,Domestic Violence,Education,Health,Immigration,Legal Services,Victim Services,Youth Services,,,,,,,,,,,,,
798,Arab-American Family Support Center,MANHATTAN,7187970410,7186438000,http://www.aafscny.org,40.688806,-73.992806,45,"150 Court Street, 3rd Floor",New York,11201,Arts & Culture,Child Care & Parent Information,Counseling & Support Groups,Domestic Violence,Education,Health,Immigration,Legal Services,Victim Services,Youth Services,,,,,,,,,,,,,
1208,Arab-American Family Support Center,QUEENS,7187970410,7186438000,http://www.aafscny.org,40.688806,-73.992806,45,"150 Court Street, 3rd Floor",New York,11201,Arts & Culture,Child Care & Parent Information,Counseling & Support Groups,Domestic Violence,Education,Health,Immigration,Legal Services,Victim Services,Youth Services,,,,,,,,,,,,,
1415,Arab-American Family Support Center,STATENIS,7187970410,7186438000,http://www.aafscny.org,40.688806,-73.992806,45,"150 Court Street, 3rd Floor",New York,11201,Arts & Culture,Child Care & Parent Information,Counseling & Support Groups,Domestic Violence,Education,Health,Immigration,Legal Services,Victim Services,Youth Services,,,,,,,,,,,,,
1765,Arab-American Family Support Center,BROOKLYN,7187970410,7186438000,http://www.aafscny.org,40.688806,-73.992806,45,"150 Court Street, 3rd Floor",New York,11201,Arts & Culture,Child Care & Parent Information,Counseling & Support Groups,Domestic Violence,Education,Health,Immigration,Legal Services,Victim Services,Youth Services,,,,,,,,,,,,,
684,Midtown Community Court/Fund for the City of New York,MANHATTAN,2125861144,6462641300,http://www.courtinnovation.org,40.765082,-73.984997,133,314 West 54th Street,New York,10019,Arts & Culture,Child Care & Parent Information,Counseling & Support Groups,Education,Employment & Job Training,Health,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Victim Services,,,,,,,,,,,,
718,Dominican Foundation CULTURARTE of New York,MANHATTAN,6464100904,6464100904,http://www.culturarteny.com,40.847052,-73.933578,261,260 Audubon Avenue,New York,10033,Arts & Culture,Child Care & Parent Information,Counseling & Support Groups,Education,Employment & Job Training,Health,Immigration,Professional Association,Victim Services,,,,,,,,,,,,,,
1148,ChaRosa Foundation Corporation,QUEENS,7187234987,7187231400,,,,,P.O. Box 110279,Cambria Heights,11411,Arts & Culture,Child Care & Parent Information,Counseling & Support Groups,Education,Employment & Job Training,Victim Services,,,,,,,,,,,,,,,,,
37,The Children's Aid Society,BRONX,2123588935,2129494800,http://childrensaidsociety.org,40.739265,-73.986215,68,105 E. 22nd Street,New York,10010,Arts & Culture,Child Care & Parent Information,Disabilities,Education,Employment & Job Training,Health,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Victim Services,,,,,,,,,,,,
776,The Children's Aid Society,MANHATTAN,2123588935,2129494800,http://childrensaidsociety.org,40.739265,-73.986215,68,105 E. 22nd Street,New York,10010,Arts & Culture,Child Care & Parent Information,Disabilities,Education,Employment & Job Training,Health,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Victim Services,,,,,,,,,,,,
1398,The Children's Aid Society,STATENIS,2123588935,2129494800,http://childrensaidsociety.org,40.739265,-73.986215,68,105 E. 22nd Street,New York,10010,Arts & Culture,Child Care & Parent Information,Disabilities,Education,Employment & Job Training,Health,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Victim Services,,,,,,,,,,,,
1596,Heartshare Human Services,BROOKLYN,,7184224200,,40.694616,-73.987191,11,"12 MetroTech Center, 29th Fl",Brooklyn,11201,Arts & Culture,Child Care & Parent Information,Disabilities,Health,Youth Services,,,,,,,,,,,,,,,,,,
49,"Mosholu Montefiore Community Center, Inc.",BRONX,,7188824000,http://www.mmcc.org/,40.881486,-73.881226,421,3450 Dekalb Avenue,Bronx,10467,Arts & Culture,Child Care & Parent Information,Education,Employment & Job Training,Youth Services,,,,,,,,,,,,,,,,,,
518,"Broadway Housing Communities, Inc.",MANHATTAN,2125682038,2125682030,http://www.broadwayhousing.org,40.835675,-73.94455,245,10 Fort Washington Avenue,"New York,",10032,Arts & Culture,Child Care & Parent Information,Education,Housing,,,,,,,,,,,,,,,,,,,
479,THE BROTHERHOOD/SISTER SOL,MANHATTAN,2122833700,2122837044,http://www.brotherhood-sistersol.org,40.824482,-73.949867,229,512 WEST 143 STREET,NEW YORK,10031,Arts & Culture,Child Care & Parent Information,Education,,,,,,,,,,,,,,,,,,,,
1144,Where There's A Need Inc,QUEENS,3472332774,3472332774,http://www.wheretheresaneed.org,,,,P.O. Box 310998,"Jamaica, N.Y.",11431,Arts & Culture,Community Service & Volunteerism,Counseling & Support Groups,Education,Health,Youth Services,,,,,,,,,,,,,,,,,
232,College and Community Fellowship,BRONX,2128171573,2128172017,http://www.collegeandcommunity.org,40.748822,-73.984268,74,365 5th Avenue,New York,10016,Arts & Culture,Community Service & Volunteerism,Counseling & Support Groups,Education,,,,,,,,,,,,,,,,,,,
931,College and Community Fellowship,MANHATTAN,2128171573,2128172017,http://www.collegeandcommunity.org,40.748822,-73.984268,74,365 5th Avenue,New York,10016,Arts & Culture,Community Service & Volunteerism,Counseling & Support Groups,Education,,,,,,,,,,,,,,,,,,,
1336,College and Community Fellowship,QUEENS,2128171573,2128172017,http://www.collegeandcommunity.org,40.748822,-73.984268,74,365 5th Avenue,New York,10016,Arts & Culture,Community Service & Volunteerism,Counseling & Support Groups,Education,,,,,,,,,,,,,,,,,,,
1532,College and Community Fellowship,STATENIS,2128171573,2128172017,http://www.collegeandcommunity.org,40.748822,-73.984268,74,365 5th Avenue,New York,10016,Arts & Culture,Community Service & Volunteerism,Counseling & Support Groups,Education,,,,,,,,,,,,,,,,,,,
1899,College and Community Fellowship,BROOKLYN,2128171573,2128172017,http://www.collegeandcommunity.org,40.748822,-73.984268,74,365 5th Avenue,New York,10016,Arts & Culture,Community Service & Volunteerism,Counseling & Support Groups,Education,,,,,,,,,,,,,,,,,,,
152,City Parks Foundation,BRONX,,2123601399,http://www.cityparksfoundaton.org,40.767711,-73.970516,143,830 Fifth Avenue,New York,10021,Arts & Culture,Community Service & Volunteerism,Education,Health,Youth Services,,,,,,,,,,,,,,,,,,
851,City Parks Foundation,MANHATTAN,,2123601399,http://www.cityparksfoundaton.org,40.767711,-73.970516,143,830 Fifth Avenue,New York,10021,Arts & Culture,Community Service & Volunteerism,Education,Health,Youth Services,,,,,,,,,,,,,,,,,,
1258,City Parks Foundation,QUEENS,,2123601399,http://www.cityparksfoundaton.org,40.767711,-73.970516,143,830 Fifth Avenue,New York,10021,Arts & Culture,Community Service & Volunteerism,Education,Health,Youth Services,,,,,,,,,,,,,,,,,,
1458,City Parks Foundation,STATENIS,,2123601399,http://www.cityparksfoundaton.org,40.767711,-73.970516,143,830 Fifth Avenue,New York,10021,Arts & Culture,Community Service & Volunteerism,Education,Health,Youth Services,,,,,,,,,,,,,,,,,,
1819,City Parks Foundation,BROOKLYN,,2123601399,http://www.cityparksfoundaton.org,40.767711,-73.970516,143,830 Fifth Avenue,New York,10021,Arts & Culture,Community Service & Volunteerism,Education,Health,Youth Services,,,,,,,,,,,,,,,,,,
67,Mount Hope Housing Company,BRONX,,7185837017,http://www.mounthopehousing.org/index.html,40.852399,-73.907445,241,2003-05 Walton Avenue,Bronx,10453,Arts & Culture,Community Service & Volunteerism,Education,Housing,Youth Services,,,,,,,,,,,,,,,,,,
1131,"Variety Boys & Girls Club of Queens, Inc.",QUEENS,,7187280946,,40.768955,-73.928269,79,21-12 30th Road,Astoria,11102,Arts & Culture,Community Service & Volunteerism,Education,Youth Services,,,,,,,,,,,,,,,,,,,
401,Global Action Project,MANHATTAN,2125949574,2125949577,http://www.global-action.org,40.750559,-73.983708,84,4 West 37th St,New York,10018,Arts & Culture,Community Service & Volunteerism,Education,,,,,,,,,,,,,,,,,,,,
1592,"Sesame Flyers International, Inc.",BROOKLYN,,7186930500,http://sesameflyers.org/,40.651066,-73.944555,856,3510 Church Avenue,Brooklyn,11203,Arts & Culture,Community Service & Volunteerism,Immigration,Youth Services,,,,,,,,,,,,,,,,,,,
490,AMIT,MANHATTAN,2123532312,2124774720,http://www.amitchildren.org,,,,817 Broadway,New York,,Arts & Culture,Community Service & Volunteerism,,,,,,,,,,,,,,,,,,,,,
755,Big Apple Greeter,MANHATTAN,2126693685,2126698159,http://www.bigapplegreeter.org,,,,"1 Centre Street, Suite 2035",New York,,Arts & Culture,Community Service & Volunteerism,,,,,,,,,,,,,,,,,,,,,
1057,Forest Park Rangers Inc.,QUEENS,,7182962142,,40.687057,-73.857054,8,91-37 85th Street,Woodhaven,11421,Arts & Culture,Community Service & Volunteerism,,,,,,,,,,,,,,,,,,,,,
1594,"American Italian Coalition of Organizations, Inc.",BROOKLYN,,7182563445,,40.684137,-73.995053,67,292 Court Street,Brooklyn,11231,Arts & Culture,Community Service & Volunteerism,,,,,,,,,,,,,,,,,,,,,
1618,sue rock originals EVERYONE,BROOKLYN,,3473658747,http://www.suerockoriginals.blogspot.com,,,,,Brooklyn,,Arts & Culture,Community Service & Volunteerism,,,,,,,,,,,,,,,,,,,,,
511,HELP USA,MANHATTAN,2124007005,2124007000,http://www.helpusa.org,40.704923,-74.009046,7,5 Hanover Square,New York,10004,Arts & Culture,Counseling & Support Groups,Education,Employment & Job Training,Health,Homelessness,Legal Services,Youth Services,,,,,,,,,,,,,,,
498,Greenwich Village Youth Council,MANHATTAN,,6464695787,,,,,"345, 346, 347, 348, 349 East 15th Street, Fifth Floor",New York,10003,Arts & Culture,Counseling & Support Groups,Education,Employment & Job Training,Health,Youth Services,,,,,,,,,,,,,,,,,
990,"Greater Ridgewood Youth Council, Inc.",QUEENS,,7184565437,,,,,62-04 Myrtle Avenue,Glendale,,Arts & Culture,Counseling & Support Groups,Education,Employment & Job Training,Health,Youth Services,,,,,,,,,,,,,,,,,
1623,"Groundwork Inc,",BROOKLYN,,7183462200,,40.669138,-73.896853,1156,595 Sutter Avenue,Brooklyn,11207,Arts & Culture,Counseling & Support Groups,Education,Employment & Job Training,Health,Youth Services,,,,,,,,,,,,,,,,,
76,"Children's Arts & Science Workshops, Inc.",BRONX,2127955901,2129237766,http://www.caswkids.org,40.850456,-73.935609,271,4271 Broadway,New York,10033,Arts & Culture,Counseling & Support Groups,Education,Employment & Job Training,Immigration,,,,,,,,,,,,,,,,,,
784,"Children's Arts & Science Workshops, Inc.",MANHATTAN,2127955901,2129237766,http://www.caswkids.org,40.850456,-73.935609,271,4271 Broadway,New York,10033,Arts & Culture,Counseling & Support Groups,Education,Employment & Job Training,Immigration,,,,,,,,,,,,,,,,,,
330,"Growth and Development Services, Inc",MANHATTAN,,2127407040,,40.842571,-73.942097,251,216 Ft. Washington Avenue,New York,10032,Arts & Culture,Counseling & Support Groups,Education,Health,Youth Services,,,,,,,,,,,,,,,,,,
486,Crystal Quilt,MANHATTAN,,2125297579,http://www.crystalquilt.org,40.728496,-73.9986,65,"532 LaGuardia Pl., #321",New York,10012,Arts & Culture,Counseling & Support Groups,Education,Personal Finance & Financial Education,,,,,,,,,,,,,,,,,,,
553,"Educational Alliance, Inc.",MANHATTAN,,2127802300,,40.714219,-73.988219,6,197 E Broadway,New York,10002,Arts & Culture,Counseling & Support Groups,Education,Youth Services,,,,,,,,,,,,,,,,,,,
1389,New York Center for Interpersonal Development,STATENIS,,7188766068,http://www.nycid.org/,40.642891,-74.076874,3,"130 Stuyvesant Place, 5th Fl.",Staten Island,10301,Arts & Culture,Counseling & Support Groups,Education,Youth Services,,,,,,,,,,,,,,,,,,,
159,Directions for Our Youth,BRONX,2123624023,2123624020,http://www.dfoy.org,40.785838,-73.970606,173,21 West 86 street,New York,10024,Arts & Culture,Counseling & Support Groups,Education,,,,,,,,,,,,,,,,,,,,
858,Directions for Our Youth,MANHATTAN,2123624023,2123624020,http://www.dfoy.org,40.785838,-73.970606,173,21 West 86 street,New York,10024,Arts & Culture,Counseling & Support Groups,Education,,,,,,,,,,,,,,,,,,,,
1826,Directions for Our Youth,BROOKLYN,2123624023,2123624020,http://www.dfoy.org,40.785838,-73.970606,173,21 West 86 street,New York,10024,Arts & Culture,Counseling & Support Groups,Education,,,,,,,,,,,,,,,,,,,,
379,American Indian Community House,MANHATTAN,2125984909,2125980100,http://www.aich.org,40.705354,-74.013731,13,"11 Broadway, 2nd Floor",New York,10004,Arts & Culture,Counseling & Support Groups,Employment & Job Training,Health,,,,,,,,,,,,,,,,,,,
365,"Mirabal Sisters Cultural and Community Center, Inc.",MANHATTAN,2122343005,2122343002,http://www.mirabalcenter.org,40.824757,-73.952439,225,"618 West 142nd Street, Ground Floor",New York,10031,Arts & Culture,Counseling & Support Groups,Housing,Youth Services,,,,,,,,,,,,,,,,,,,
231,New York City Housing Authority,BRONX,,2126399675,http://www.nyc.gov/html/nycha/html/home/home.shtml,,,,,New York,,Arts & Culture,Education,Employment & Job Training,Housing,,,,,,,,,,,,,,,,,,,
930,New York City Housing Authority,MANHATTAN,,2126399675,http://www.nyc.gov/html/nycha/html/home/home.shtml,,,,,New York,,Arts & Culture,Education,Employment & Job Training,Housing,,,,,,,,,,,,,,,,,,,
1335,New York City Housing Authority,QUEENS,,2126399675,http://www.nyc.gov/html/nycha/html/home/home.shtml,,,,,New York,,Arts & Culture,Education,Employment & Job Training,Housing,,,,,,,,,,,,,,,,,,,
1531,New York City Housing Authority,STATENIS,,2126399675,http://www.nyc.gov/html/nycha/html/home/home.shtml,,,,,New York,,Arts & Culture,Education,Employment & Job Training,Housing,,,,,,,,,,,,,,,,,,,
1898,New York City Housing Authority,BROOKLYN,,2126399675,http://www.nyc.gov/html/nycha/html/home/home.shtml,,,,,New York,,Arts & Culture,Education,Employment & Job Training,Housing,,,,,,,,,,,,,,,,,,,
184,NYC Ladders for Leaders,BRONX,,2126399675,http://www.nyc.gov/html/cwi/html/programs/ladders.shtml,,,,,New York,,Arts & Culture,Education,Employment & Job Training,Youth Services,,,,,,,,,,,,,,,,,,,
883,NYC Ladders for Leaders,MANHATTAN,,2126399675,http://www.nyc.gov/html/cwi/html/programs/ladders.shtml,,,,,New York,,Arts & Culture,Education,Employment & Job Training,Youth Services,,,,,,,,,,,,,,,,,,,
1289,NYC Ladders for Leaders,QUEENS,,2126399675,http://www.nyc.gov/html/cwi/html/programs/ladders.shtml,,,,,New York,,Arts & Culture,Education,Employment & Job Training,Youth Services,,,,,,,,,,,,,,,,,,,
1485,NYC Ladders for Leaders,STATENIS,,2126399675,http://www.nyc.gov/html/cwi/html/programs/ladders.shtml,,,,,New York,,Arts & Culture,Education,Employment & Job Training,Youth Services,,,,,,,,,,,,,,,,,,,
1851,NYC Ladders for Leaders,BROOKLYN,,2126399675,http://www.nyc.gov/html/cwi/html/programs/ladders.shtml,,,,,New York,,Arts & Culture,Education,Employment & Job Training,Youth Services,,,,,,,,,,,,,,,,,,,
125,Groundswell Community Mural Project,BRONX,7182549783,7182549782,http://www.groundswellmural.org/,40.679555,-73.982355,127,339 Douglass Street,Brooklyn,11217,Arts & Culture,Education,Employment & Job Training,,,,,,,,,,,,,,,,,,,,
426,"Women's Project & Productions, Inc.",MANHATTAN,2127652024,2127651706,http://www.womensproject.org,40.774058,-73.988681,151,55 West End Avenue,New York,10023,Arts & Culture,Education,Employment & Job Training,,,,,,,,,,,,,,,,,,,,
