Protest,Region,Country,Location,Start_day,Start_month,Start_year,End_day,End_month,End_year,Protester_violence,Protester_identity,Protester_demand,State_response_level,State_response,,Participants_estimate,Participants_low,Participants_high,Participants_average
584,Europe,Germany,Dresden,16,2,2015,16,2,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,50-99,50,99,75
587,Europe,Germany,Dresden,2,3,2015,2,3,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,50-99,50,99,75
588,Europe,Germany,Dresden,9,3,2015,9,3,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,50-99,50,99,75
589,Europe,Germany,Dresden,16,3,2015,16,3,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,50-99,50,99,75
590,Europe,Germany,Dresden,23,3,2015,23,3,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,50-99,50,99,75
591,Europe,Germany,Dresden,30,3,2015,30,3,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,50-99,50,99,75
592,Europe,Germany,Dresden,6,4,2015,6,4,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,50-99,50,99,75
593,Europe,Germany,Dresden,13,4,2015,13,4,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,50-99,50,99,75
594,Europe,Germany,Dresden,20,4,2015,20,4,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,50-99,50,99,75
595,Europe,Germany,Dresden,27,4,2015,27,4,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,50-99,50,99,75
596,Europe,Germany,Dresden,4,5,2015,4,5,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,50-99,50,99,75
597,Europe,Germany,Dresden,11,5,2015,11,5,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,50-99,50,99,75
598,Europe,Germany,Dresden,18,5,2015,18,5,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,50-99,50,99,75
599,Europe,Germany,Dresden,25,5,2015,25,5,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,50-99,50,99,75
600,Europe,Germany,Dresden,1,6,2015,1,6,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,50-99,50,99,75
601,Europe,Germany,Dresden,8,6,2015,8,6,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,50-99,50,99,75
602,Europe,Germany,Dresden,15,6,2015,15,6,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,50-99,50,99,75
603,Europe,Germany,Dresden,22,6,2015,22,6,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,50-99,50,99,75
604,Europe,Germany,Dresden,29,6,2015,29,6,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
605,Europe,Germany,Dresden,6,7,2015,6,7,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
606,Europe,Germany,Dresden,13,7,2015,13,7,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
607,Europe,Germany,Dresden,20,7,2015,20,7,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
608,Europe,Germany,Dresden,27,7,2015,27,7,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
609,Europe,Germany,Dresden,3,8,2015,3,8,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
610,Europe,Germany,Dresden,10,8,2015,10,8,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
611,Europe,Germany,Dresden,17,8,2015,17,8,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
612,Europe,Germany,Dresden,24,8,2015,24,8,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
613,Europe,Germany,Dresden,31,8,2015,31,8,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
614,Europe,Germany,Dresden,7,9,2015,7,9,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
615,Europe,Germany,Dresden,14,9,2015,14,9,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
616,Europe,Germany,Dresden,21,9,2015,21,9,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
617,Europe,Germany,Dresden,28,9,2015,28,9,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
618,Europe,Germany,Dresden,5,10,2015,5,10,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
619,Europe,Germany,Dresden,12,10,2015,12,10,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
620,Europe,Germany,Dresden,26,10,2015,26,10,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
621,Europe,Germany,Dresden,2,11,2015,2,11,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
622,Europe,Germany,Dresden,9,11,2015,9,11,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
623,Europe,Germany,Dresden,16,11,2015,16,11,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
624,Europe,Germany,Dresden,23,11,2015,23,11,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
625,Europe,Germany,Dresden,30,11,2015,30,11,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
626,Europe,Germany,Dresden,7,12,2015,7,12,2015,0, Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
627,Europe,Germany,Dresden,14,12,2015,14,12,2015,0, Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
628,Europe,Germany,Dresden,21,12,2015,21,12,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
629,Europe,Germany,Dresden,28,12,2015,28,12,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
630,Europe,Germany,Dresden,4,1,2016,4,1,2016,0, Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
631,Europe,Germany,Dresden,11,1,2016,11,1,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
632,Europe,Germany,Dresden,18,1,2016,18,1,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
633,Europe,Germany,Dresden,25,1,2016,25,1,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
634,Europe,Germany,Dresden,1,2,2016,1,2,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
635,Europe,Germany,Dresden,8,2,2016,8,2,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
636,Europe,Germany,Dresden,15,2,2016,15,2,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
637,Europe,Germany,Dresden,22,2,2016,22,2,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
638,Europe,Germany,Dresden,29,2,2016,29,2,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
639,Europe,Germany,Dresden,7,3,2016,7,3,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
640,Europe,Germany,Dresden,14,3,2016,14,3,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
641,Europe,Germany,Dresden,21,3,2016,21,3,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
642,Europe,Germany,Dresden,28,3,2016,28,3,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
643,Europe,Germany,Dresden,4,4,2016,4,4,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
644,Europe,Germany,Dresden,11,4,2016,11,4,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
645,Europe,Germany,Dresden,18,4,2016,18,4,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
646,Europe,Germany,Dresden,25,4,2016,25,4,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
648,Europe,Germany,Dresden,2,5,2016,2,5,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
649,Europe,Germany,Dresden,9,5,2016,9,5,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
650,Europe,Germany,Dresden,16,5,2016,16,5,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
651,Europe,Germany,Dresden,23,5,2016,23,5,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
653,Europe,Germany,Dresden,30,5,2016,30,5,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
654,Europe,Germany,Dresden,6,6,2016,6,6,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
655,Europe,Germany,Dresden,13,6,2016,13,6,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
656,Europe,Germany,Dresden,20,6,2016,20,6,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
657,Europe,Germany,Dresden,27,6,2016,27,6,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
658,Europe,Germany,Dresden,4,7,2016,4,7,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
660,Europe,Germany,Dresden,11,7,2016,11,7,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
661,Europe,Germany,Dresden,18,7,2016,18,7,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
662,Europe,Germany,Dresden,25,7,2016,25,7,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
663,Europe,Germany,Dresden,1,8,2016,1,8,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
664,Europe,Germany,Dresden,8,8,2016,8,8,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
665,Europe,Germany,Dresden,15,8,2016,15,8,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
666,Europe,Germany,Dresden,22,8,2016,22,8,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
667,Europe,Germany,Dresden,29,8,2016,29,8,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
668,Europe,Germany,Dresden,5,9,2016,5,9,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
669,Europe,Germany,Dresden,12,9,2016,12,9,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
670,Europe,Germany,Dresden,19,9,2016,19,9,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
671,Europe,Germany,Dresden,26,9,2016,26,9,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
672,Europe,Germany,Dresden,3,10,2016,3,10,2016,0,PEGIDA,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
673,Europe,Germany,Dresden,28,10,2017,28,10,2017,0,civil rights,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
685,Europe,Germany,Dresden,18,3,2010,18,3,2010,0,protesters,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
694,Europe,Germany,Dresden,20,10,2014,20,10,2014,0,Patriotic Europeans Against the Islamization of the West,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
695,Europe,Germany,Dresden,27,10,2014,27,10,2014,0,Patriotic Europeans Against the Islamization of the West,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
696,Europe,Germany,Dresden,3,11,2014,3,11,2014,0,Patriotic Europeans Against the Islamization of the West,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
697,Europe,Germany,Dresden,10,11,2014,10,11,2014,0,Patriotic Europeans Against the Islamization of the West,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
698,Europe,Germany,Dresden,17,11,2014,17,11,2014,0,Patriotic Europeans Against the Islamization of the West,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
699,Europe,Germany,Dresden,24,11,2014,24,11,2014,0,Patriotic Europeans Against the Islamization of the West,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
700,Europe,Germany,Dresden,1,12,2014,1,12,2014,0,Patriotic Europeans Against the Islamization of the West,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
719,Europe,Germany,Dresden,8,12,2014,8,12,2014,0,Patriotic Europeans Against the Islamization of the West,"political behavior, process",3,crowd_dispersal,,2000-4999,2000,4999,3500
720,Europe,Germany,Dresden,15,12,2014,15,12,2014,0,Patriotic Europeans Against the Islamization of the West,"political behavior, process",3,crowd_dispersal,,2000-4999,2000,4999,3500
721,Europe,Germany,Dresden,22,12,2014,22,12,2014,0,Patriotic Europeans Against the Islamization of the West,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
722,Europe,Germany,Dresden,5,1,2015,5,1,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
724,Europe,Germany,Dresden,25,1,2015,25,1,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",3,crowd_dispersal,,2000-4999,2000,4999,3500
726,Europe,Germany,Dresden,19,10,2015,19,10,2015,1,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",3,crowd_dispersal,,2000-4999,2000,4999,3500
581,Europe,Germany,Dresden,26,1,2015,26,1,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
586,Europe,Germany,Dresden,23,2,2015,23,2,2015,1,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",3,crowd_dispersal,,2000-4999,2000,4999,3500
723,Europe,Germany,Dresden,12,1,2015,12,1,2015,0,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
987,Europe,Ireland,Drogheda,20,8,2014,20,8,2014,0,Irish Nurses and Midwives Organization  INMO  and SIPTU,labor wage dispute,2,ignore,,2000-4999,2000,4999,3500
1098,Europe,Ireland,Dublin,12,9,2018,12,9,2018,0,Protesters criticising garda action during a housing protest,police brutality,2,ignore,,2000-4999,2000,4999,3500
1026,Europe,Ireland,Dublin,30,3,2017,30,3,2017,0,"Irish Wheelchair Association, Down Syndrome Ireland and the Central Remedial Clinic","political behavior, process",2,ignore,,2000-4999,2000,4999,3500
1096,Europe,Ireland,Dublin,3,1,2017,3,1,2017,0,Home Sweet Home group,land farm issue,2,ignore,,2000-4999,2000,4999,3500
959,Europe,Ireland,Dublin,31,3,2012,31,3,2012,0,protesters,"price increases, tax policy",2,ignore,,2000-4999,2000,4999,3500
960,Europe,Ireland,Dublin,14,11,2012,14,11,2012,0,protesters,social restrictions,2,ignore,,2000-4999,2000,4999,3500
961,Europe,Ireland,Dublin,13,4,2013,13,4,2013,0,Campaign Against Household and Water Taxes,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
962,Europe,Ireland,Dublin,17,2,2014,17,2,2014,0,protesters,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
963,Europe,Ireland,Dublin,15,4,2014,15,4,2014,0,protesters,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
966,Europe,Ireland,Dublin,18,4,2015,18,4,2015,0,Water protesters,"price increases, tax policy",2,ignore,,2000-4999,2000,4999,3500
967,Europe,Ireland,Dublin,1,5,2015,1,5,2015,0,Dublin Council of Trade Unions & Right2Water,"price increases, tax policy",2,ignore,,2000-4999,2000,4999,3500
968,Europe,Ireland,Dublin,20,6,2015,20,6,2015,0,water protesters,"price increases, tax policy",2,ignore,,2000-4999,2000,4999,3500
971,Europe,Ireland,Dublin,19,10,2016,19,10,2016,0,students,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
973,Europe,Ireland,Dublin,12,11,2010,12,11,2010,0,union of students in Ireland  USI ,police brutality,2,ignore,,2000-4999,2000,4999,3500
975,Europe,Ireland,Dublin,25,4,2013,25,4,2013,0,TUI,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
978,Europe,Ireland,Dublin,26,10,2013,26,10,2013,0,protesters,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
979,Europe,Ireland,Dublin,6,2,2014,6,2,2014,0,Union of students in Ireland  USI ,labor wage dispute,2,ignore,,2000-4999,2000,4999,3500
981,Europe,Ireland,Dublin,10,5,2014,10,5,2014,0,protesters,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
982,Europe,Ireland,Dublin,21,5,2014,21,5,2014,0,protesters,"political behavior, process",1,accomodate,,2000-4999,2000,4999,3500
983,Europe,Ireland,Dublin,17,6,2014,17,6,2014,0,Irish Farmers Association  IFA  ,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
985,Europe,Ireland,Dublin,30,7,2014,30,7,2014,0,protesters,"political behavior, process",2,ignore,,2000-4999,2000,4999,3500
993,Europe,Ireland,Dublin,28,10,2014,28,10,2014,0,pro choice activists,social restrictions,2,ignore,,2000-4999,2000,4999,3500
996,Europe,Ireland,Dublin,16,11,2014,16,11,2014,1,anti water charges protesters,"price increases, tax policy",3,crowd_dispersal,,2000-4999,2000,4999,3500
998,Europe,Ireland,Dublin,15,3,2015,15,3,2015,0,undocumented migrants,social restrictions,2,ignore,,1000-1999,1000,1999,1500
1000,Europe,Ireland,Dublin,10,6,2015,10,6,2015,0,pensioners,"price increases, tax policy",2,ignore,,1000-1999,1000,1999,1500
1001,Europe,Ireland,Dublin,28,10,2015,28,10,2015,0,Travellers,social restrictions,2,ignore,,1000-1999,1000,1999,1500
1003,Europe,Ireland,Dublin,29,3,2016,29,3,2016,0,New Land League,"political behavior, process",2,ignore,,1000-1999,1000,1999,1500
1005,Europe,Ireland,Dublin,19,9,2016,19,9,2016,0,Anti austerity alliance,"political behavior, process",2,ignore,,100-999,100,999,550
1006,Europe,Ireland,Dublin,3,10,2016,3,10,2016,0,Dublin Cycling Campaign and Cyclist,"political behavior, process",2,ignore,,100-999,100,999,550
1010,Europe,Ireland,Dublin,12,3,2018,12,3,2018,0,Members of several taxi unions,labor wage dispute,2,ignore,,100-999,100,999,550
1013,Europe,Ireland,Dublin,25,2,2009,25,2,2009,0,gardai,"political behavior, process",2,ignore,,100-999,100,999,550
1014,Europe,Ireland,Dublin,18,8,2013,18,8,2013,0,LGBT Noise,"political behavior, process",2,ignore,,100-999,100,999,550
1016,Europe,Ireland,Dublin,22,10,2013,22,10,2013,0,protesters,"political behavior, process",2,ignore,,100-999,100,999,550
1017,Europe,Ireland,Dublin,4,3,2014,4,3,2014,0,Irish Farmers Association  IFA ,"political behavior, process",2,ignore,,100-999,100,999,550
1018,Europe,Ireland,Dublin,3,5,2014,3,5,2014,0,Pro life campaign,"political behavior, process",2,ignore,,100-999,100,999,550
1019,Europe,Ireland,Dublin,20,8,2014,20,8,2014,0,Choice Ireland and the Abortion Rights Campaign,"political behavior, process",2,ignore,,100-999,100,999,550
1022,Europe,Ireland,Dublin,18,11,2014,18,11,2014,0,"Irish Nurses  and Midwives  Organisation, Siptu and the Psychiatric Nurses  Association","price increases, tax policy",2,ignore,,100-999,100,999,550
1023,Europe,Ireland,Dublin,17,2,2015,17,2,2015,0,Association of Childhood Professionals,"price increases, tax policy",2,ignore,,100-999,100,999,550
1024,Europe,Ireland,Dublin,6,6,2015,6,6,2015,0,Dunnes store workers,labor wage dispute,2,ignore,,100-999,100,999,550
1025,Europe,Ireland,Dublin,12,9,2015,12,9,2015,0,protesters.,"political behavior, process",2,ignore,,100-999,100,999,550
1027,Europe,Ireland,Dublin,7,12,2010,7,12,2010,0,protesters,"political behavior, process",4,arrests,,100-999,100,999,550
1028,Europe,Ireland,Dublin,3,2,2013,3,2,2013,0,protesters,"political behavior, process",2,ignore,,100-999,100,999,550
1030,Europe,Ireland,Dublin,21,6,2013,21,6,2013,0,protesters,"political behavior, process",2,ignore,,100-999,100,999,550
1035,Europe,Ireland,Dublin,28,5,2016,28,5,2016,0,National Homeless and Housing Coalition,land farm issue,2,ignore,,100-999,100,999,550
1039,Europe,Ireland,Dublin,13,3,2009,13,3,2009,0,protesters,"political behavior, process",2,ignore,,100-999,100,999,550
1040,Europe,Ireland,Dublin,11,3,2013,11,3,2013,0,Irish Farmers  Association  IFA ,"political behavior, process",2,ignore,,100-999,100,999,550
1041,Europe,Ireland,Dublin,24,4,2013,24,4,2013,0,protesters,"political behavior, process",2,ignore,,100-999,100,999,550
1042,Europe,Ireland,Dublin,1,5,2013,1,5,2013,0,Dublin Council of Trade Unions  DCTU ,"political behavior, process",2,ignore,,100-999,100,999,550
1044,Europe,Ireland,Dublin,10,7,2013,10,7,2013,0,pro life protesters,"political behavior, process",2,ignore,,>10000,10000,10000,10000
1045,Europe,Ireland,Dublin,10,7,2013,10,7,2013,0,pro choice protesters,"political behavior, process",2,ignore,,>10000,10000,10000,10000
1048,Europe,Ireland,Dublin,15,10,2013,15,10,2013,0,protesters,"political behavior, process",2,ignore,,>10000,10000,10000,10000
1049,Europe,Ireland,Dublin,25,11,2013,25,11,2013,0,travelers,"political behavior, process",2,ignore,,>10000,10000,10000,10000
1051,Europe,Ireland,Dublin,17,2,2014,17,2,2014,0,taxi drivers,"political behavior, process",2,ignore,,>10000,10000,10000,10000
1054,Europe,Ireland,Dublin,25,2,2014,25,2,2014,0,residents,"political behavior, process",2,ignore,,>10000,10000,10000,10000
1055,Europe,Ireland,Dublin,26,2,2014,26,2,2014,0,Irish Postmasters Union,"political behavior, process",2,ignore,,>10000,10000,10000,10000
1058,Europe,Ireland,Dublin,17,6,2014,17,6,2014,0,council members,labor wage dispute,2,ignore,,>10000,10000,10000,10000
1064,Europe,Ireland,Dublin,24,9,2014,24,9,2014,0,National Association of General Practitioners  NAGP ,"political behavior, process",2,ignore,,>10000,10000,10000,10000
1065,Europe,Ireland,Dublin,6,10,2014,6,10,2014,0,protesters,"political behavior, process",3,crowd_dispersal,,>10000,10000,10000,10000
1066,Europe,Ireland,Dublin,5,11,2014,5,11,2014,0,protesters,police brutality,2,ignore,,>10000,10000,10000,10000
1068,Europe,Ireland,Dublin,20,11,2014,20,11,2014,0,asylum seekers,"political behavior, process",2,ignore,,>10000,10000,10000,10000
1070,Europe,Ireland,Dublin,10,12,2014,10,12,2014,0,anti water charges protesters,"price increases, tax policy",3,crowd_dispersal,,>10000,10000,10000,10000
1071,Europe,Ireland,Dublin,10,12,2014,10,12,2014,1,anti water charges protesters,"price increases, tax policy",4,arrests,,>10000,10000,10000,10000
1072,Europe,Ireland,Dublin,20,12,2014,20,12,2014,0,anti water charges protesters,"price increases, tax policy",2,ignore,,>10000,10000,10000,10000
1073,Europe,Ireland,Dublin,20,1,2015,20,1,2015,0,taxi drivers,labor wage dispute,2,ignore,,>10000,10000,10000,10000
1076,Europe,Ireland,Dublin,18,2,2015,18,2,2015,0,mental health advocates,"price increases, tax policy",2,ignore,,>10000,10000,10000,10000
1081,Europe,Ireland,Dublin,15,7,2015,15,7,2015,0,water protesters,"price increases, tax policy",2,ignore,,>10000,10000,10000,10000
1083,Europe,Ireland,Dublin,25,10,2015,25,10,2015,0,Roopesh Panicker  member of the Hindu community ,social restrictions,2,ignore,,>10000,10000,10000,10000
1084,Europe,Ireland,Dublin,27,10,2015,27,10,2015,0,Tax Justice Ireland & Debt and Development Coalition Ireland,"price increases, tax policy",2,ignore,,>10000,10000,10000,10000
1085,Europe,Ireland,Dublin,2,11,2015,2,11,2015,0,protesters,"political behavior, process",2,ignore,,>10000,10000,10000,10000
1087,Europe,Ireland,Dublin,1,12,2015,1,12,2015,1,National Homeless and Housing Coalition,"political behavior, process",3,crowd_dispersal,,>10000,10000,10000,10000
1093,Europe,Ireland,Dublin,17,5,2016,17,5,2016,0,Senior Gardai  police ,labor wage dispute,2,ignore,,>10000,10000,10000,10000
1101,Europe,Ireland,Dublin,4,2,2009,4,2,2009,0,Union of Students in Ireland  USI ,"political behavior, process",2,ignore,,>10000,10000,10000,10000
1102,Europe,Ireland,Dublin,3,11,2010,3,11,2010,1,Union of Students in Ireland  USI ,"political behavior, process",3,crowd_dispersal,,>10000,10000,10000,10000
1103,Europe,Ireland,Dublin,27,11,2010,27,11,2010,0,Irish Congress of Trade Unions  ICTU ,"political behavior, process",2,ignore,,>10000,10000,10000,10000
1105,Europe,Ireland,Dublin,8,6,2013,8,6,2013,0,Pro Life Campaign,"political behavior, process",2,ignore,,>10000,10000,10000,10000
1107,Europe,Ireland,Dublin,11,10,2014,11,10,2014,0,protesters,"price increases, tax policy",2,ignore,,5000-10000,5000,10000,7500
1109,Europe,Ireland,Dublin,10,12,2014,10,12,2014,0,anti water charges protesters,"price increases, tax policy",3,crowd_dispersal,,5000-10000,5000,10000,7500
1111,Europe,Ireland,Dublin,21,3,2015,21,3,2015,0,Right2Water,"price increases, tax policy",2,ignore,,5000-10000,5000,10000,7500
1112,Europe,Ireland,Dublin,29,8,2015,29,8,2015,0,Right2Water,"price increases, tax policy",2,ignore,,5000-10000,5000,10000,7500
1113,Europe,Ireland,Dublin,20,2,2016,20,2,2016,0,Right2Change,"price increases, tax policy",2,ignore,,5000-10000,5000,10000,7500
1114,Europe,Ireland,Dublin,24,9,2016,24,9,2016,0,pro choice demonstrators,"political behavior, process",2,ignore,,5000-10000,5000,10000,7500
1115,Europe,Ireland,Dublin,30,9,2017,30,9,2017,0,Protesters demanding an end to the country s constitutional ban on abortion,"political behavior, process",2,ignore,,5000-10000,5000,10000,7500
965,Europe,Ireland,Dublin,21,2,2015,21,2,2015,0,Right2Water,"price increases, tax policy",2,ignore,,5000-10000,5000,10000,7500
1088,Europe,Ireland,Dublin,3,4,2016,3,4,2016,1,32 County Sovereignty Movement,"political behavior, process",3,crowd_dispersal,,5000-10000,5000,10000,7500
